EPOCH                             DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic         cm^-3            eV          km/s          km/s          km/s
06-09-2022 00:09:05.551.107       2.43187       40.3573       509.393      -32.2171      -14.4640
06-09-2022 00:09:09.551.114       2.54666       36.6397       511.647      -27.3230       4.39689
06-09-2022 00:09:13.551.121       2.62716       49.1596       521.792      -36.1375      -49.3077
06-09-2022 00:09:17.551.128       3.04851       49.6390       507.111      -4.81489      -56.9596
06-09-2022 00:09:21.551.135       2.67355       40.3114       527.655      -18.6336      -21.0578
06-09-2022 00:09:25.551.142       3.00633       72.9599       458.818      -26.2151      -43.2500
06-09-2022 00:09:29.551.148       2.29768       28.6896       516.083      -33.9744      -15.1717
06-09-2022 00:09:33.551.155       2.43286       46.9347       519.938      -32.4554      -27.5707
06-09-2022 00:09:37.551.162       2.35539       46.4313       521.872      -34.7729      -30.0721
06-09-2022 00:09:41.551.169       3.23780       101.393       467.903      -38.8160       14.4277
06-09-2022 00:09:45.551.176       3.09194       61.6653       467.221      -26.2058      -53.3072
06-09-2022 00:09:49.551.183       4.19621       132.875       453.286      -20.4126       19.7766
06-09-2022 00:09:53.551.190       3.41064       64.1390       457.989      -30.0233      -44.5035
06-09-2022 00:09:57.551.197       3.17312       52.7280       456.177      -35.6094      -37.1982
06-09-2022 00:10:01.551.204       3.73592       63.9175       444.015      -23.8496      -45.2175
06-09-2022 00:10:05.551.211       3.64794       56.8743       446.252      -26.4275      -43.4205
06-09-2022 00:10:09.551.218       3.45122       55.1448       440.881      -33.8352      -40.9271
06-09-2022 00:10:13.551.225       3.53599       59.1278       436.369      -28.5845      -43.8141
06-09-2022 00:10:17.551.232       3.65394       56.5569       447.547      -31.5612      -50.9563
06-09-2022 00:10:21.551.239       3.43384       57.5093       459.522      -34.1071      -39.6969
06-09-2022 00:10:25.551.246       3.23995       55.2899       453.631      -30.0919      -47.8643
06-09-2022 00:10:29.551.253       3.06085       55.0931       456.519      -32.0571      -50.5447
06-09-2022 00:10:33.551.260       3.00879       62.2102       460.542      -21.0566      -48.2643
06-09-2022 00:10:37.551.267       2.88267       56.1886       467.496      -32.2349      -51.2543
06-09-2022 00:10:41.551.274       3.03654       61.8363       472.717      -23.5705      -48.9176
06-09-2022 00:10:45.551.281       3.41361       62.1282       454.461      -16.9573      -51.6255
06-09-2022 00:10:49.551.288       3.02655       50.8328       465.120      -28.5257      -43.4733
06-09-2022 00:10:53.551.295       3.25011       62.7972       453.211      -26.5482      -48.2371
06-09-2022 00:10:57.551.302       3.18046       62.0136       463.947      -21.4361      -50.5886
06-09-2022 00:11:01.551.308       3.23652       69.5445       465.068      -21.9894      -53.3170
06-09-2022 00:11:05.551.315       3.13016       53.4732       476.368      -26.8010      -43.6446
06-09-2022 00:11:09.551.322       3.60329       115.139       459.811      -18.3442      -13.5011
06-09-2022 00:11:13.551.329       3.31697       69.7405       469.282      -23.7612      -47.6337
06-09-2022 00:11:17.551.336       4.23998       119.784       430.072      -19.9817       27.9461
06-09-2022 00:11:21.551.343       3.42172       69.0017       453.871      -30.4725      -40.8731
06-09-2022 00:11:25.551.350       3.02421       52.6629       477.900      -36.5481      -38.8195
06-09-2022 00:11:29.551.357       2.95750       53.2462       466.129      -39.0864      -40.5124
06-09-2022 00:11:33.551.364       3.05455       51.8302       455.430      -38.0819      -42.6209
06-09-2022 00:11:37.551.371       3.18338       53.2637       464.064      -30.7460      -55.8456
06-09-2022 00:11:41.551.378       3.21014       53.2529       467.329      -30.9955      -43.6589
06-09-2022 00:11:45.551.385       3.42682       57.4980       443.543      -28.5205      -47.4473
06-09-2022 00:11:49.551.392       3.52876       58.1279       467.308      -33.8097      -46.3436
06-09-2022 00:11:53.551.399       3.49653       57.2767       464.159      -37.8695      -36.8977
06-09-2022 00:11:57.551.406       3.38067       47.4995       466.194      -40.1514      -27.2422
06-09-2022 00:12:01.551.413       3.44891       54.5304       452.171      -49.1464      -27.8773
06-09-2022 00:12:05.551.420       3.41832       50.6768       465.198      -45.4285      -25.1831
06-09-2022 00:12:09.551.427       3.56915       51.3602       472.473      -46.1621      -23.6940
06-09-2022 00:12:13.551.434       3.48372       53.8830       458.269      -44.0305      -29.5141
06-09-2022 00:12:17.551.441       3.74227       108.764       467.152      -39.9386       5.81648
06-09-2022 00:12:21.551.448       3.59189       59.6930       464.076      -38.7273      -30.5568
06-09-2022 00:12:25.551.455       3.07122       50.1182       474.069      -44.8950      -29.8924
06-09-2022 00:12:29.551.462       3.22354       51.2047       472.650      -34.7725      -30.9300
06-09-2022 00:12:33.551.469       3.24236       53.4873       487.803      -37.1792      -28.5962
06-09-2022 00:12:37.551.476       3.55171       73.7782       453.763      -9.99973      -32.7755
06-09-2022 00:12:41.551.482       3.52841       57.2137       483.492      -20.8621      -20.0624
06-09-2022 00:12:45.551.490       3.28452       55.5673       490.235      -25.9907      -18.6654
06-09-2022 00:12:49.551.496       3.44602       57.9793       499.381      -27.2649      -16.1196
06-09-2022 00:12:53.551.503       3.51801       73.3219       464.832      -27.0364      -26.6970
06-09-2022 00:12:57.551.510       3.19924       45.7905       498.026      -38.3653      -18.8655
06-09-2022 00:13:01.551.517       3.22347       53.4183       475.612      -29.7665      -24.9866
06-09-2022 00:13:05.551.524       3.65777       113.295       474.693      -25.4344       51.3460
06-09-2022 00:13:09.551.531       3.23919       55.9811       480.089      -35.0362      -29.1308
06-09-2022 00:13:13.551.538       2.75194       52.3757       493.637      -33.9606      -17.2879
06-09-2022 00:13:17.551.545       3.01417       57.1775       477.587      -18.0375      -16.8842
06-09-2022 00:13:21.551.552       2.39665       46.3217       478.012      -38.3610      -46.5940
06-09-2022 00:13:25.551.559       5.43777       68.3704       414.623       10.4769      -55.6710
06-09-2022 00:13:29.551.566       3.92099       41.5256       450.809      -30.5522      -41.1398
06-09-2022 00:13:33.551.573       4.47145       46.6994       443.150      -27.8916      -44.2327
06-09-2022 00:13:37.551.580       4.54766       63.5886       444.918      -8.75033      -31.5649
06-09-2022 00:13:41.551.587       4.37352       48.7091       458.758      -20.8399      -33.2526
06-09-2022 00:13:45.551.594       4.11174       49.7232       463.292      -25.9327      -32.5665
06-09-2022 00:13:49.551.601       4.01624       42.0796       442.263      -26.0392      -28.1257
06-09-2022 00:13:53.551.608       4.03808       50.6979       442.537      -20.0069      -29.9083
06-09-2022 00:13:57.551.615       3.72927       46.4727       458.038      -21.7063      -24.9162
06-09-2022 00:14:01.551.622       3.86965       48.0883       454.276      -16.6754      -26.0726
06-09-2022 00:14:05.551.629       3.54879       42.8263       468.358      -25.7706      -33.0041
06-09-2022 00:14:09.551.636       3.87722       53.2141       471.596      -23.7417      -34.0630
06-09-2022 00:14:13.551.642       4.13260       55.1067       454.577      -18.9772      -44.8503
06-09-2022 00:14:17.551.650       4.58606       96.1771       449.678      -9.19430      -11.9987
06-09-2022 00:14:21.551.656       4.07421       53.3080       469.210      -14.1038      -46.1850
06-09-2022 00:14:25.551.663       4.73428       43.1776       431.100      -8.42099      -42.1045
06-09-2022 00:14:29.551.670       4.69117       45.1920       437.683      -11.6870      -47.5339
06-09-2022 00:14:33.551.677       4.53014       55.1585       442.047      -13.4239      -45.8844
06-09-2022 00:14:37.551.684       4.07920       45.4949       444.481      -18.7781      -52.6200
06-09-2022 00:14:41.551.691       4.36420       47.2130       453.869      -16.5668      -49.6856
06-09-2022 00:14:45.551.698       4.15965       51.5325       456.041      -13.9249      -40.6499
